Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_детские_товары_подгузники,9,91522.4721,630150,641
md_pmax_зоотовары_коты_кормление,49,91293.767214,482160,1038
md_pmax_зоотовары_коты_кормление,37,90364.630112,577161,1091
md_pmax_зоотовары_коты_кормление,32,90052.628362,641822,973
md_pmax_детские_товары_игрушки_лего,24,89968.374119,1030682,813
md_pmax_детские_товары_питание,15,89774.257104,780067,521
md_pmax_алкоголь_виски,12,89541.28,1003377,476
md_pmax_красота_и_уход_лореаль,15,89525.61,1138555,851
md_pmax_алкоголь_пиво,46,89219.328672,912791,926
md_pmax_зоотовары_коты_кормление,48,88011.128241,480376,944
md_pmax_алкоголь_виски,24,87687.518699,821233,739
md_pmax_алкоголь_виски,19,87011.12,899604,750
md_pmax_зоотовары_коты_кормление,56,86944.650908,615449,796
md_pmax_детские_товары_питание,42,86626.552884,573280,766
md_pmax_товары_для_дома,27,86163.091398,1064422,1112
md_pmax_детские_товары_игрушки_лего,30,86124.304392,882989,1057
md_pmax_продукты_питания_напитки_кофе,55,85776.204274,635409,876
md_pmax_алкоголь_виски,60,85398.63,796508,797
md_pmax_зоотовары_коты_кормление,46,85376.984676,448952,977
md_pmax_зоотовары_коты_кормление,43,85185.788164,543538,1070
md_pmax_детские_товары_игрушки_лего,40,85065.598593,761774,675
md_pmax_детские_товары_игрушки_лего,23,85050.92,950991,675
md_pmax_товары_для_здоровья_БАДы,60,84983.214135,1535109,1172
md_pmax_товары_для_здоровья_БАДы,48,84970.062977,1148115,1199
brand_shopping,57,84705.88737,1786121,3581
md_pmax_детские_товары_подгузники,17,84611.451006,557054,642
md_pmax_товары_для_дома_посуда_столовая_посуда,15,84497.251883,837381,527
md_pmax_алкоголь_пиво,48,84447.448282,881152,831
md_pmax_зоотовары_коты_кормление,29,84349.175665,550487,844
md_pmax_алкоголь_виски,55,83938.741693,786878,811
md_pmax_товары_для_здоровья_БАДы,59,83367.943135,1196776,1332
md_pmax_детские_товары_подгузники,10,82698.336652,584856,621
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,45,82377.332416,389436,772
md_pmax_зоотовары_коты_кормление,51,82358.047071,495501,985
md_pmax_детские_товары_питание,14,82298.420654,708962,491
md_pmax_товары_для_дома,10,81678.64,983511,939
md_pmax_детские_товары_питание,56,81676.389373,535466,746
md_pmax_детские_товары_игрушки_a,32,81572.618456,1324646,1009
md_pmax_детские_товары_питание,50,81297.644536,482653,783
md_pmax_алкоголь_пиво,45,81173.216116,938964,877
md_pmax_детские_товары_игрушки_a,33,81145.364898,1168900,1141
md_pmax_алкоголь_виски,15,80881.26,793756,695
md_pmax_детские_товары_игрушки_a,36,80875.164899,1068304,1211
md_pmax_детские_товары_игрушки_лего,37,80700.041751,849258,726
md_pmax_алкоголь_виски,23,79834.32,763704,651
md_pmax_детские_товары_подгузники,21,79819.860415,455137,598
md_pmax_продукты_питания_напитки_кофе,54,79478.254368,570660,857
md_pmax_детские_товары_подгузники,19,79453.114535,546132,632
md_pmax_зоотовары_коты_кормление,52,79338.205967,460733,920
md_pmax_детские_товары_игрушки_a,29,79151.082068,1264782,1287
md_pmax_продукты_питания_кондитерка,26,79101.617401,1148604,1219
md_pmax_товары_для_дома,25,78801.139034,969903,1089
md_pmax_зоотовары_коты_кормление,26,78577.540556,478797,836
md_pmax_детские_товары_питание,38,78384.888005,676587,625
md_pmax_товары_для_дома,20,78150.541205,961239,1155
md_pmax_алкоголь_пиво,44,78075.461075,924143,795
md_pmax_детские_товары_подгузники,12,78038.713659,579648,523
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,20,77831.38,356298,660
md_pmax_детские_товары_подгузники,18,77801.748592,519950,697
